sampledate,coreid,wtemp,light50,dark_light,light_logger,light0,do_init,delta_do_rate,do_final,do_gm2hr
2013-06-29,6,12.5,700,1,NA,2225,12.06,1.009230769230769,15.34,0.20184615384615376
2013-06-29,7,12.35,700,0,NA,2225,11.75,-0.25979381443298966,10.91,-0.05065979381443299
2013-06-29,8,12.3,700,1,NA,2225,12.22,0.5782383419689118,14.08,0.1474507772020725
2013-06-29,9,12.45,700,1,NA,2225,11.34,0.8755102040816325,14.2,0.17072448979591834
2013-06-29,10,12.75,700,1,NA,2225,11.25,0.947208121827411,14.36,0.18944162436548215
2013-07-08,1,10.4,150,0,NA,311.5,10.91,-0.5451923076923079,9.02,-0.12812019230769234
2013-07-08,2,10.3,150,1,NA,311.5,10.8,-0.2771428571428573,9.83,-0.05542857142857146
2013-07-08,3,10.25,150,0,NA,311.5,10.92,-0.3298578199052133,9.76,-0.07916587677725119
2013-07-08,4,10.25,150,1,NA,311.5,11.2,-0.3457142857142855,9.99,-0.06568571428571424
2013-07-08,5,10.2,150,0,NA,311.5,11.07,-0.41714285714285737,9.61,-0.10011428571428578
2013-07-08,6,10.2,150,1,NA,311.5,10.96,0.13142857142857117,11.42,0.02431428571428566
2013-07-08,7,10.25,150,0,NA,311.5,10.76,-0.5715639810426539,8.75,-0.10002369668246444
2013-07-08,8,10.2,150,1,NA,311.5,10.9,0.197142857142857,11.59,0.04041428571428568
2013-07-08,9,10.2,150,1,NA,311.5,11.02,0.01142857142857169,11.06,0.00297142857142864
2013-07-08,10,10.2,150,1,NA,311.5,11.14,0.2685714285714284,12.08,0.0671428571428571
2013-07-14,1,12.8,565,0,NA,765,10.64,-0.7333333333333337,8.44,-0.16133333333333344
2013-07-14,2,12.4,565,1,NA,765,10.54,0.9133333333333334,13.28,0.17810000000000004
2013-07-14,3,12.5,565,0,NA,765,10.43,-0.6164835164835163,8.56,-0.12021428571428566
2013-07-14,4,12.35,565,1,NA,765,10.49,0.9197802197802196,13.28,0.1793571428571428
2013-07-14,5,12.1,565,0,NA,765,10.67,-0.41000000000000014,9.44,-0.08610000000000002
